UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Vibration Levels,Operational Hours,Failure Type,Comment
331,M15190,M,297.6,308.4,1398,41.9,36.0,105.41,No Failure,"Technician inspected Engine #331. RPM at 1398, torque at 41.9 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 36.0. Engine has run for 105.4 hours. No failure detected."
332,M15191,M,297.6,308.4,1391,51.9,33.0,105.76,No Failure,"Technician inspected Engine #332. RPM at 1391, torque at 51.9 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 33.0. Engine has run for 105.8 hours. No failure detected."
333,M15192,M,297.6,308.3,1538,40.2,23.0,106.12,No Failure,"Technician inspected Engine #333. RPM at 1538, torque at 40.2 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 23.0. Engine has run for 106.1 hours. No failure detected."
334,L47513,L,297.5,308.2,1647,31.3,45.0,106.47,No Failure,"Technician inspected Engine #334. RPM at 1647, torque at 31.3 Nm. Air temp 297.5K, Process temp 308.2K. Vibration level recorded at 45.0. Engine has run for 106.5 hours. No failure detected."
335,M15194,M,297.5,308.1,1469,44.8,55.0,106.83,No Failure,"Technician inspected Engine #335. RPM at 1469, torque at 44.8 Nm. Air temp 297.5K, Process temp 308.1K. Vibration level recorded at 55.0. Engine has run for 106.8 hours. No failure detected."
336,L47515,L,297.4,308.1,1749,25.9,45.0,107.18,No Failure,"Technician inspected Engine #336. RPM at 1749, torque at 25.9 Nm. Air temp 297.4K, Process temp 308.1K. Vibration level recorded at 45.0. Engine has run for 107.2 hours. No failure detected."
337,M15196,M,297.6,308.2,1995,20.5,34.0,107.54,No Failure,"Technician inspected Engine #337. RPM at 1995, torque at 20.5 Nm. Air temp 297.6K, Process temp 308.2K. Vibration level recorded at 34.0. Engine has run for 107.5 hours. No failure detected."
338,L47517,L,297.6,308.3,1742,27.7,34.0,107.89,No Failure,"Technician inspected Engine #338. RPM at 1742, torque at 27.7 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 107.9 hours. No failure detected."
339,L47518,L,297.5,308.2,1563,38.2,23.0,108.25,No Failure,"Technician inspected Engine #339. RPM at 1563, torque at 38.2 Nm. Air temp 297.5K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 108.2 hours. No failure detected."
340,M15199,M,297.5,308.2,1713,32.2,42.0,108.6,No Failure,"Technician inspected Engine #340. RPM at 1713, torque at 32.2 Nm. Air temp 297.5K, Process temp 308.2K. Vibration level recorded at 42.0. Engine has run for 108.6 hours. No failure detected."
341,L47520,L,297.4,308.1,1474,39.4,54.0,108.95,No Failure,"Technician inspected Engine #341. RPM at 1474, torque at 39.4 Nm. Air temp 297.4K, Process temp 308.1K. Vibration level recorded at 54.0. Engine has run for 109.0 hours. No failure detected."
342,M15201,M,297.4,308.2,1530,32.6,55.0,109.31,No Failure,"Technician inspected Engine #342. RPM at 1530, torque at 32.6 Nm. Air temp 297.4K, Process temp 308.2K. Vibration level recorded at 55.0. Engine has run for 109.3 hours. No failure detected."
343,L47522,L,297.4,308.2,1471,46.5,54.0,109.66,No Failure,"Technician inspected Engine #343. RPM at 1471, torque at 46.5 Nm. Air temp 297.4K, Process temp 308.2K. Vibration level recorded at 54.0. Engine has run for 109.7 hours. No failure detected."
344,L47523,L,297.5,308.3,1388,48.6,34.0,110.02,No Failure,"Technician inspected Engine #344. RPM at 1388, torque at 48.6 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 110.0 hours. No failure detected."
345,M15204,M,297.5,308.2,2448,13.8,33.0,110.37,No Failure,"Technician inspected Engine #345. RPM at 2448, torque at 13.8 Nm. Air temp 297.5K, Process temp 308.2K. Vibration level recorded at 33.0. Engine has run for 110.4 hours. No failure detected."
346,L47525,L,297.5,308.3,1585,32.9,23.0,110.73,No Failure,"Technician inspected Engine #346. RPM at 1585, torque at 32.9 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 23.0. Engine has run for 110.7 hours. No failure detected."
347,M15206,M,297.5,308.3,1459,45.2,24.0,111.08,No Failure,"Technician inspected Engine #347. RPM at 1459, torque at 45.2 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 24.0. Engine has run for 111.1 hours. No failure detected."
348,L47527,L,297.5,308.3,1544,40.8,36.0,111.44,No Failure,"Technician inspected Engine #348. RPM at 1544, torque at 40.8 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 111.4 hours. No failure detected."
349,L47528,L,297.6,308.3,1617,31.7,34.0,111.79,Overstrain Failure,"Technician inspected Engine #349. RPM at 1617, torque at 31.7 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 111.8 hours. Anomaly present. Further diagnostics required."
350,L47529,L,297.6,308.3,1595,34.3,35.0,112.15,Overstrain Failure,"Technician inspected Engine #350. RPM at 1595, torque at 34.3 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 35.0. Engine has run for 112.2 hours. Anomaly present. Further diagnostics required."
351,H29764,H,297.6,308.3,1400,44.3,36.0,112.5,No Failure,"Technician inspected Engine #351. RPM at 1400, torque at 44.3 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 112.5 hours. No failure detected."
352,M15211,M,297.6,308.4,1611,31.0,37.0,112.85,No Failure,"Technician inspected Engine #352. RPM at 1611, torque at 31.0 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 37.0. Engine has run for 112.8 hours. No failure detected."
353,M15212,M,297.6,308.4,1507,46.0,38.0,113.21,No Failure,"Technician inspected Engine #353. RPM at 1507, torque at 46.0 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 38.0. Engine has run for 113.2 hours. No failure detected."
354,H29767,H,297.5,308.3,1674,30.0,39.0,113.56,No Failure,"Technician inspected Engine #354. RPM at 1674, torque at 30.0 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 39.0. Engine has run for 113.6 hours. No failure detected."
355,L47534,L,297.6,308.3,1658,34.3,40.0,113.92,No Failure,"Technician inspected Engine #355. RPM at 1658, torque at 34.3 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 40.0. Engine has run for 113.9 hours. No failure detected."
356,L47535,L,297.6,308.3,1623,36.9,42.0,114.27,No Failure,"Technician inspected Engine #356. RPM at 1623, torque at 36.9 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 42.0. Engine has run for 114.3 hours. No failure detected."
357,M15216,M,297.6,308.4,1398,48.9,52.0,114.63,Power Failure,"Technician inspected Engine #357. RPM at 1398, torque at 48.9 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 52.0. Engine has run for 114.6 hours. Anomaly present. Further diagnostics required."
358,L47537,L,297.6,308.4,1517,34.2,44.0,114.98,No Failure,"Technician inspected Engine #358. RPM at 1517, torque at 34.2 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 44.0. Engine has run for 115.0 hours. No failure detected."
359,M15218,M,297.6,308.3,1467,36.7,52.0,115.34,No Failure,"Technician inspected Engine #359. RPM at 1467, torque at 36.7 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 52.0. Engine has run for 115.3 hours. No failure detected."
360,M15219,M,297.6,308.3,1567,34.6,44.0,115.69,Tool Wear Failure,"Technician inspected Engine #360. RPM at 1567, torque at 34.6 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 44.0. Engine has run for 115.7 hours. Signs of tool wear observed. Recommend inspection."
361,M15220,M,297.5,308.3,1521,38.2,35.0,116.05,Tool Wear Failure,"Technician inspected Engine #361. RPM at 1521, torque at 38.2 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 35.0. Engine has run for 116.0 hours. Signs of tool wear observed. Recommend inspection."
362,L47541,L,297.5,308.3,1596,36.8,36.0,116.4,Tool Wear Failure,"Technician inspected Engine #362. RPM at 1596, torque at 36.8 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 36.0. Engine has run for 116.4 hours. Signs of tool wear observed. Recommend inspection."
363,H29776,H,297.6,308.3,1640,30.9,33.0,116.75,No Failure,"Technician inspected Engine #363. RPM at 1640, torque at 30.9 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 33.0. Engine has run for 116.8 hours. No failure detected."
364,L47543,L,297.6,308.3,1438,47.8,23.0,117.11,No Failure,"Technician inspected Engine #364. RPM at 1438, torque at 47.8 Nm. Air temp 297.6K, Process temp 308.3K. Vibration level recorded at 23.0. Engine has run for 117.1 hours. No failure detected."
365,L47544,L,297.6,308.4,1407,55.2,45.0,117.46,No Failure,"Technician inspected Engine #365. RPM at 1407, torque at 55.2 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 45.0. Engine has run for 117.5 hours. No failure detected."
366,L47545,L,297.6,308.4,1353,57.5,55.0,117.82,No Failure,"Technician inspected Engine #366. RPM at 1353, torque at 57.5 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 55.0. Engine has run for 117.8 hours. No failure detected."
367,M15226,M,297.6,308.5,1552,40.9,45.0,118.17,No Failure,"Technician inspected Engine #367. RPM at 1552, torque at 40.9 Nm. Air temp 297.6K, Process temp 308.5K. Vibration level recorded at 45.0. Engine has run for 118.2 hours. No failure detected."
368,M15227,M,297.6,308.4,1569,38.3,34.0,118.53,No Failure,"Technician inspected Engine #368. RPM at 1569, torque at 38.3 Nm. Air temp 297.6K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 118.5 hours. No failure detected."
369,L47548,L,297.5,308.4,1489,39.5,34.0,118.88,No Failure,"Technician inspected Engine #369. RPM at 1489, torque at 39.5 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 118.9 hours. No failure detected."
370,H29783,H,297.5,308.4,1587,36.1,23.0,119.24,No Failure,"Technician inspected Engine #370. RPM at 1587, torque at 36.1 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 23.0. Engine has run for 119.2 hours. No failure detected."
371,M15230,M,297.5,308.3,1622,37.2,42.0,119.59,No Failure,"Technician inspected Engine #371. RPM at 1622, torque at 37.2 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 42.0. Engine has run for 119.6 hours. No failure detected."
372,L47551,L,297.5,308.4,1604,38.1,54.0,119.95,No Failure,"Technician inspected Engine #372. RPM at 1604, torque at 38.1 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 54.0. Engine has run for 120.0 hours. No failure detected."
373,M15232,M,297.4,308.3,1405,51.7,55.0,120.3,No Failure,"Technician inspected Engine #373. RPM at 1405, torque at 51.7 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 55.0. Engine has run for 120.3 hours. No failure detected."
374,L47553,L,297.4,308.3,1412,42.0,54.0,120.65,No Failure,"Technician inspected Engine #374. RPM at 1412, torque at 42.0 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 54.0. Engine has run for 120.7 hours. No failure detected."
375,L47554,L,297.4,308.3,1431,43.0,34.0,121.01,No Failure,"Technician inspected Engine #375. RPM at 1431, torque at 43.0 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 121.0 hours. No failure detected."
376,L47555,L,297.4,308.2,1533,37.4,33.0,121.36,No Failure,"Technician inspected Engine #376. RPM at 1533, torque at 37.4 Nm. Air temp 297.4K, Process temp 308.2K. Vibration level recorded at 33.0. Engine has run for 121.4 hours. No failure detected."
377,M15236,M,297.4,308.2,1401,51.9,23.0,121.72,No Failure,"Technician inspected Engine #377. RPM at 1401, torque at 51.9 Nm. Air temp 297.4K, Process temp 308.2K. Vibration level recorded at 23.0. Engine has run for 121.7 hours. No failure detected."
378,M15237,M,297.4,308.2,1424,53.9,24.0,122.07,No Failure,"Technician inspected Engine #378. RPM at 1424, torque at 53.9 Nm. Air temp 297.4K, Process temp 308.2K. Vibration level recorded at 24.0. Engine has run for 122.1 hours. No failure detected."
379,L47558,L,297.3,308.2,1754,29.4,36.0,122.43,No Failure,"Technician inspected Engine #379. RPM at 1754, torque at 29.4 Nm. Air temp 297.3K, Process temp 308.2K. Vibration level recorded at 36.0. Engine has run for 122.4 hours. No failure detected."
380,L47559,L,297.3,308.2,1754,26.8,34.0,122.78,No Failure,"Technician inspected Engine #380. RPM at 1754, torque at 26.8 Nm. Air temp 297.3K, Process temp 308.2K. Vibration level recorded at 34.0. Engine has run for 122.8 hours. No failure detected."
381,L47560,L,297.5,308.3,2564,12.8,35.0,123.14,No Failure,"Technician inspected Engine #381. RPM at 2564, torque at 12.8 Nm. Air temp 297.5K, Process temp 308.3K. Vibration level recorded at 35.0. Engine has run for 123.1 hours. No failure detected."
382,L47561,L,297.5,308.5,1546,40.4,36.0,123.49,No Failure,"Technician inspected Engine #382. RPM at 1546, torque at 40.4 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 36.0. Engine has run for 123.5 hours. No failure detected."
383,L47562,L,297.5,308.5,1335,48.0,37.0,123.85,No Failure,"Technician inspected Engine #383. RPM at 1335, torque at 48.0 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 37.0. Engine has run for 123.8 hours. No failure detected."
384,M15243,M,297.5,308.6,1842,27.0,38.0,124.2,No Failure,"Technician inspected Engine #384. RPM at 1842, torque at 27.0 Nm. Air temp 297.5K, Process temp 308.6K. Vibration level recorded at 38.0. Engine has run for 124.2 hours. No failure detected."
385,L47564,L,297.5,308.5,1712,26.8,39.0,124.55,No Failure,"Technician inspected Engine #385. RPM at 1712, torque at 26.8 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 39.0. Engine has run for 124.5 hours. No failure detected."
386,M15245,M,297.6,308.6,1414,45.4,40.0,124.91,No Failure,"Technician inspected Engine #386. RPM at 1414, torque at 45.4 Nm. Air temp 297.6K, Process temp 308.6K. Vibration level recorded at 40.0. Engine has run for 124.9 hours. No failure detected."
387,L47566,L,297.6,308.7,1319,50.9,42.0,125.26,No Failure,"Technician inspected Engine #387. RPM at 1319, torque at 50.9 Nm. Air temp 297.6K, Process temp 308.7K. Vibration level recorded at 42.0. Engine has run for 125.3 hours. No failure detected."
388,L47567,L,297.7,308.7,1249,60.4,52.0,125.62,No Failure,"Technician inspected Engine #388. RPM at 1249, torque at 60.4 Nm. Air temp 297.7K, Process temp 308.7K. Vibration level recorded at 52.0. Engine has run for 125.6 hours. No failure detected."
389,L47568,L,297.6,308.7,1455,48.2,44.0,125.97,No Failure,"Technician inspected Engine #389. RPM at 1455, torque at 48.2 Nm. Air temp 297.6K, Process temp 308.7K. Vibration level recorded at 44.0. Engine has run for 126.0 hours. No failure detected."
390,M15249,M,297.6,308.7,1408,54.8,52.0,126.33,No Failure,"Technician inspected Engine #390. RPM at 1408, torque at 54.8 Nm. Air temp 297.6K, Process temp 308.7K. Vibration level recorded at 52.0. Engine has run for 126.3 hours. No failure detected."
391,L47570,L,297.6,308.7,1460,46.7,44.0,126.68,No Failure,"Technician inspected Engine #391. RPM at 1460, torque at 46.7 Nm. Air temp 297.6K, Process temp 308.7K. Vibration level recorded at 44.0. Engine has run for 126.7 hours. No failure detected."
392,L47571,L,297.6,308.6,1491,38.1,35.0,127.04,No Failure,"Technician inspected Engine #392. RPM at 1491, torque at 38.1 Nm. Air temp 297.6K, Process temp 308.6K. Vibration level recorded at 35.0. Engine has run for 127.0 hours. No failure detected."
393,M15252,M,297.6,308.5,1490,43.4,36.0,127.39,No Failure,"Technician inspected Engine #393. RPM at 1490, torque at 43.4 Nm. Air temp 297.6K, Process temp 308.5K. Vibration level recorded at 36.0. Engine has run for 127.4 hours. No failure detected."
394,M15253,M,297.5,308.4,1350,52.2,33.0,127.75,No Failure,"Technician inspected Engine #394. RPM at 1350, torque at 52.2 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 33.0. Engine has run for 127.8 hours. No failure detected."
395,L47574,L,297.5,308.4,1528,39.9,23.0,128.1,No Failure,"Technician inspected Engine #395. RPM at 1528, torque at 39.9 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 23.0. Engine has run for 128.1 hours. No failure detected."
396,L47575,L,297.4,308.3,1571,37.7,45.0,128.45,No Failure,"Technician inspected Engine #396. RPM at 1571, torque at 37.7 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 45.0. Engine has run for 128.4 hours. No failure detected."
397,L47576,L,297.4,308.3,1490,42.6,55.0,128.81,No Failure,"Technician inspected Engine #397. RPM at 1490, torque at 42.6 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 55.0. Engine has run for 128.8 hours. No failure detected."
398,M15257,M,297.4,308.3,1774,28.9,45.0,129.16,No Failure,"Technician inspected Engine #398. RPM at 1774, torque at 28.9 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 45.0. Engine has run for 129.2 hours. No failure detected."
399,H29812,H,297.4,308.3,1502,43.6,34.0,129.52,No Failure,"Technician inspected Engine #399. RPM at 1502, torque at 43.6 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 129.5 hours. No failure detected."
400,L47579,L,297.4,308.4,1392,49.7,34.0,129.87,No Failure,"Technician inspected Engine #400. RPM at 1392, torque at 49.7 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 34.0. Engine has run for 129.9 hours. No failure detected."
401,L47580,L,297.4,308.5,2100,16.9,23.0,130.23,No Failure,"Technician inspected Engine #401. RPM at 2100, torque at 16.9 Nm. Air temp 297.4K, Process temp 308.5K. Vibration level recorded at 23.0. Engine has run for 130.2 hours. No failure detected."
402,L47581,L,297.5,308.5,1722,30.4,42.0,130.58,No Failure,"Technician inspected Engine #402. RPM at 1722, torque at 30.4 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 42.0. Engine has run for 130.6 hours. No failure detected."
403,L47582,L,297.4,308.6,1678,32.3,54.0,130.94,No Failure,"Technician inspected Engine #403. RPM at 1678, torque at 32.3 Nm. Air temp 297.4K, Process temp 308.6K. Vibration level recorded at 54.0. Engine has run for 130.9 hours. No failure detected."
404,L47583,L,297.3,308.6,1273,59.8,55.0,131.29,No Failure,"Technician inspected Engine #404. RPM at 1273, torque at 59.8 Nm. Air temp 297.3K, Process temp 308.6K. Vibration level recorded at 55.0. Engine has run for 131.3 hours. No failure detected."
405,L47584,L,297.3,308.6,1297,45.9,54.0,131.65,No Failure,"Technician inspected Engine #405. RPM at 1297, torque at 45.9 Nm. Air temp 297.3K, Process temp 308.6K. Vibration level recorded at 54.0. Engine has run for 131.7 hours. No failure detected."
406,L47585,L,297.3,308.5,1350,57.6,34.0,132.0,No Failure,"Technician inspected Engine #406. RPM at 1350, torque at 57.6 Nm. Air temp 297.3K, Process temp 308.5K. Vibration level recorded at 34.0. Engine has run for 132.0 hours. No failure detected."
407,L47586,L,297.4,308.6,1439,51.9,33.0,132.35,No Failure,"Technician inspected Engine #407. RPM at 1439, torque at 51.9 Nm. Air temp 297.4K, Process temp 308.6K. Vibration level recorded at 33.0. Engine has run for 132.3 hours. No failure detected."
408,M15267,M,297.4,308.5,1600,42.1,23.0,132.71,No Failure,"Technician inspected Engine #408. RPM at 1600, torque at 42.1 Nm. Air temp 297.4K, Process temp 308.5K. Vibration level recorded at 23.0. Engine has run for 132.7 hours. No failure detected."
409,M15268,M,297.4,308.6,1434,44.4,24.0,133.06,No Failure,"Technician inspected Engine #409. RPM at 1434, torque at 44.4 Nm. Air temp 297.4K, Process temp 308.6K. Vibration level recorded at 24.0. Engine has run for 133.1 hours. No failure detected."
410,L47589,L,297.4,308.6,1459,41.3,36.0,133.42,No Failure,"Technician inspected Engine #410. RPM at 1459, torque at 41.3 Nm. Air temp 297.4K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 133.4 hours. No failure detected."
411,M15270,M,297.5,308.6,1472,44.9,34.0,133.77,No Failure,"Technician inspected Engine #411. RPM at 1472, torque at 44.9 Nm. Air temp 297.5K, Process temp 308.6K. Vibration level recorded at 34.0. Engine has run for 133.8 hours. No failure detected."
412,L47591,L,297.5,308.7,1429,44.3,35.0,134.13,No Failure,"Technician inspected Engine #412. RPM at 1429, torque at 44.3 Nm. Air temp 297.5K, Process temp 308.7K. Vibration level recorded at 35.0. Engine has run for 134.1 hours. No failure detected."
413,L47592,L,297.5,308.6,1388,48.2,36.0,134.48,No Failure,"Technician inspected Engine #413. RPM at 1388, torque at 48.2 Nm. Air temp 297.5K, Process temp 308.6K. Vibration level recorded at 36.0. Engine has run for 134.5 hours. No failure detected."
414,L47593,L,297.4,308.4,1573,34.5,37.0,134.84,No Failure,"Technician inspected Engine #414. RPM at 1573, torque at 34.5 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 37.0. Engine has run for 134.8 hours. No failure detected."
415,L47594,L,297.4,308.4,1588,32.5,38.0,135.19,No Failure,"Technician inspected Engine #415. RPM at 1588, torque at 32.5 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 38.0. Engine has run for 135.2 hours. No failure detected."
416,L47595,L,297.5,308.4,1511,42.8,39.0,135.55,No Failure,"Technician inspected Engine #416. RPM at 1511, torque at 42.8 Nm. Air temp 297.5K, Process temp 308.4K. Vibration level recorded at 39.0. Engine has run for 135.6 hours. No failure detected."
417,L47596,L,297.4,308.5,1495,37.8,40.0,135.9,No Failure,"Technician inspected Engine #417. RPM at 1495, torque at 37.8 Nm. Air temp 297.4K, Process temp 308.5K. Vibration level recorded at 40.0. Engine has run for 135.9 hours. No failure detected."
418,L47597,L,297.4,308.4,1394,50.1,34.56129032,136.25,No Failure,"Technician inspected Engine #418. RPM at 1394, torque at 50.1 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 34.6. Engine has run for 136.2 hours. No failure detected."
419,L47598,L,297.4,308.4,2151,17.7,34.27983871,136.61,No Failure,"Technician inspected Engine #419. RPM at 2151, torque at 17.7 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 34.3. Engine has run for 136.6 hours. No failure detected."
420,M15279,M,297.3,308.3,1501,38.2,33.9983871,136.96,No Failure,"Technician inspected Engine #420. RPM at 1501, torque at 38.2 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 34.0. Engine has run for 137.0 hours. No failure detected."
421,M15280,M,297.3,308.3,1301,39.6,33.71693548,137.32,No Failure,"Technician inspected Engine #421. RPM at 1301, torque at 39.6 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 33.7. Engine has run for 137.3 hours. No failure detected."
422,M15281,M,297.3,308.3,1657,31.1,33.43548387,137.67,No Failure,"Technician inspected Engine #422. RPM at 1657, torque at 31.1 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 33.4. Engine has run for 137.7 hours. No failure detected."
423,L47602,L,297.3,308.3,1333,55.2,33.15403226,138.03,No Failure,"Technician inspected Engine #423. RPM at 1333, torque at 55.2 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 33.2. Engine has run for 138.0 hours. No failure detected."
424,L47603,L,297.3,308.3,1484,43.9,32.87258065,138.38,No Failure,"Technician inspected Engine #424. RPM at 1484, torque at 43.9 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 32.9. Engine has run for 138.4 hours. No failure detected."
425,L47604,L,297.3,308.4,1430,45.7,32.59112903,138.74,No Failure,"Technician inspected Engine #425. RPM at 1430, torque at 45.7 Nm. Air temp 297.3K, Process temp 308.4K. Vibration level recorded at 32.6. Engine has run for 138.7 hours. No failure detected."
426,M15285,M,297.3,308.4,1665,28.9,32.30967742,139.09,No Failure,"Technician inspected Engine #426. RPM at 1665, torque at 28.9 Nm. Air temp 297.3K, Process temp 308.4K. Vibration level recorded at 32.3. Engine has run for 139.1 hours. No failure detected."
427,L47606,L,297.4,308.5,1501,44.9,32.02822581,139.45,No Failure,"Technician inspected Engine #427. RPM at 1501, torque at 44.9 Nm. Air temp 297.4K, Process temp 308.5K. Vibration level recorded at 32.0. Engine has run for 139.4 hours. No failure detected."
428,M15287,M,297.5,308.5,1496,42.2,31.74677419,139.8,No Failure,"Technician inspected Engine #428. RPM at 1496, torque at 42.2 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 31.7. Engine has run for 139.8 hours. No failure detected."
429,M15288,M,297.6,308.6,1595,36.9,31.46532258,140.15,No Failure,"Technician inspected Engine #429. RPM at 1595, torque at 36.9 Nm. Air temp 297.6K, Process temp 308.6K. Vibration level recorded at 31.5. Engine has run for 140.2 hours. No failure detected."
430,L47609,L,297.5,308.6,1208,62.3,31.18387097,140.51,No Failure,"Technician inspected Engine #430. RPM at 1208, torque at 62.3 Nm. Air temp 297.5K, Process temp 308.6K. Vibration level recorded at 31.2. Engine has run for 140.5 hours. No failure detected."
431,L47610,L,297.5,308.6,1596,37.1,30.90241935,140.86,No Failure,"Technician inspected Engine #431. RPM at 1596, torque at 37.1 Nm. Air temp 297.5K, Process temp 308.6K. Vibration level recorded at 30.9. Engine has run for 140.9 hours. No failure detected."
432,L47611,L,297.5,308.5,1446,41.9,30.62096774,141.22,No Failure,"Technician inspected Engine #432. RPM at 1446, torque at 41.9 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 30.6. Engine has run for 141.2 hours. No failure detected."
433,M15292,M,297.6,308.5,1466,39.7,30.33951613,141.57,No Failure,"Technician inspected Engine #433. RPM at 1466, torque at 39.7 Nm. Air temp 297.6K, Process temp 308.5K. Vibration level recorded at 30.3. Engine has run for 141.6 hours. No failure detected."
434,M15293,M,297.6,308.5,1848,23.7,30.05806452,141.93,No Failure,"Technician inspected Engine #434. RPM at 1848, torque at 23.7 Nm. Air temp 297.6K, Process temp 308.5K. Vibration level recorded at 30.1. Engine has run for 141.9 hours. No failure detected."
435,M15294,M,297.5,308.5,1484,44.7,29.7766129,142.28,No Failure,"Technician inspected Engine #435. RPM at 1484, torque at 44.7 Nm. Air temp 297.5K, Process temp 308.5K. Vibration level recorded at 29.8. Engine has run for 142.3 hours. No failure detected."
436,L47615,L,297.4,308.3,1493,41.2,29.49516129,142.64,No Failure,"Technician inspected Engine #436. RPM at 1493, torque at 41.2 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 29.5. Engine has run for 142.6 hours. No failure detected."
437,L47616,L,297.3,308.3,1504,36.3,29.21370968,142.99,No Failure,"Technician inspected Engine #437. RPM at 1504, torque at 36.3 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 29.2. Engine has run for 143.0 hours. No failure detected."
438,L47617,L,297.3,308.3,1538,38.5,28.93225806,143.35,No Failure,"Technician inspected Engine #438. RPM at 1538, torque at 38.5 Nm. Air temp 297.3K, Process temp 308.3K. Vibration level recorded at 28.9. Engine has run for 143.3 hours. No failure detected."
439,L47618,L,297.4,308.4,1341,52.2,28.65080645,143.7,No Failure,"Technician inspected Engine #439. RPM at 1341, torque at 52.2 Nm. Air temp 297.4K, Process temp 308.4K. Vibration level recorded at 28.7. Engine has run for 143.7 hours. No failure detected."
440,M15299,M,297.4,308.3,1535,34.6,28.36935484,144.05,No Failure,"Technician inspected Engine #440. RPM at 1535, torque at 34.6 Nm. Air temp 297.4K, Process temp 308.3K. Vibration level recorded at 28.4. Engine has run for 144.1 hours. No failure detected."
441,L47620,L,297.4,308.5,1389,39.2,28.08790323,144.41,No Failure,"Technician inspected Engine #441. RPM at 1389, torque at 39.2 Nm. Air temp 297.4K, Process temp 308.5K. Vibration level recorded at 28.1. Engine has run for 144.4 hours. No failure detected."
